,Ticker,Datetime,Dividends,Close
5,RVBI11,2020-08,0.58,85.59
6,RVBI11,2020-09,0.6,88.3
7,RVBI11,2020-10,0.62,88.1
8,RVBI11,2020-11,0.62,92.98
9,RVBI11,2020-12,0.69,93.7
10,RVBI11,2021-01,0.69,95.39
11,RVBI11,2021-02,0.72,94.06
12,RVBI11,2021-03,0.72,93.55
13,RVBI11,2021-04,0.72,92.81
14,RVBI11,2021-05,0.72,95.57
15,RVBI11,2021-06,0.72,87.1
16,RVBI11,2021-07,0.75,91.0
17,RVBI11,2021-08,0.75,92.09
18,RVBI11,2021-09,0.75,85.8
19,RVBI11,2021-10,0.75,83.8
20,RVBI11,2021-11,0.75,74.84
21,RVBI11,2021-12,0.75,84.01
22,RVBI11,2022-01,0.75,79.0
23,RVBI11,2022-02,0.75,79.32
24,RVBI11,2022-03,0.75,77.39
25,RVBI11,2022-04,0.75,79.36
26,RVBI11,2022-05,0.75,75.86
27,RVBI11,2022-06,0.75,74.75
28,RVBI11,2022-07,0.75,75.95
29,RVBI11,2022-08,0.75,80.35
30,RVBI11,2022-09,0.75,80.66
31,RVBI11,2022-10,0.75,77.32
32,RVBI11,2022-11,0.75,74.15
33,RVBI11,2022-12,0.75,72.67
0,RZAG11,2021-11,0.07,9.79
1,RZAG11,2021-12,0.08,-1.0
2,RZAG11,2022-01,0.11,-1.0
3,RZAG11,2022-02,0.11,-1.0
4,RZAG11,2022-03,0.11,-1.0
5,RZAG11,2022-04,0.12,-1.0
6,RZAG11,2022-05,0.13,-1.0
7,RZAG11,2022-06,0.13,-1.0
8,RZAG11,2022-07,0.14,-1.0
9,RZAG11,2022-08,0.14,-1.0
10,RZAG11,2022-09,0.14,-1.0
11,RZAG11,2022-10,0.13,-1.0
12,RZAG11,2022-11,0.11,-1.0
13,RZAG11,2022-12,0.12,-1.0
0,RZAK11,2020-12,0.01,99.99
1,RZAK11,2021-01,0.0,99.41
2,RZAK11,2021-02,0.5,95.0
3,RZAK11,2021-03,0.0,96.52
